network_rank;network_id;region_id;region_longname;lobe;cortex
1;280;280;Area_OP4-PV_R;Par;Posterior_Opercular
1;280;296;Area_PFt_R;Par;Inferior_Parietal
1;280;328;Area_PF_Complex_R;Par;Inferior_Parietal
2;36;36;Area_5m_L;Par;Paracentral_Lobular_and_Mid_Cingulate
3;66;66;Area_47m_L;Fr;Orbital_and_Polar_Frontal
4;100;100;Area_OP4-PV_L;Par;Posterior_Opercular
4;100;116;Area_PFt_L;Par;Inferior_Parietal
4;100;148;Area_PF_Complex_L;Par;Inferior_Parietal
5;192;192;Area_55b_R;Fr;Premotor
5;192;275;Area_Lateral_IntraParietal_dorsal_R;Par;Superior_Parietal
5;192;311;Area_TG_dorsal_R;Temp;Lateral_Temporal
5;192;317;Area_PHT_R;Temp;Lateral_Temporal
5;192;324;Area_IntraParietal_2_R;Par;Inferior_Parietal
5;192;325;Area_IntraParietal_1_R;Par;Inferior_Parietal
5;192;329;Area_PFm_Complex_R;Par;Inferior_Parietal
6;266;266;Area_9-46d_R;Fr;Dorsolateral_Prefrontal
7;8;8;Primary_Motor_Cortex_L;Fr;Somatosensory_and_Motor
7;8;82;Area_IFSa_L;Fr;Inferior_Frontal
7;8;116;Area_PFt_L;Par;Inferior_Parietal
7;8;148;Area_PF_Complex_L;Par;Inferior_Parietal
7;8;149;Area_PFm_Complex_L;Par;Inferior_Parietal
8;109;26;Superior_Frontal_Language_Area_L;Fr;Dorsolateral_Prefrontal
8;109;44;Area_6m_anterior_L;Fr;Paracentral_Lobular_and_Mid_Cingulate
8;109;70;Area_8B_Lateral_L;Fr;Dorsolateral_Prefrontal
8;109;104;RetroInsular_Cortex_L;Par;Early_Auditory
8;109;109;Middle_Insular_Area_L;Ins;Insular_and_Frontal_Opercular
8;109;125;Auditory_5_Complex_L;Temp;Auditory_Association
8;109;175;Auditory_4_Complex_L;Temp;Auditory_Association
9;40;40;Dorsal_Area_24d_L;Fr;Paracentral_Lobular_and_Mid_Cingulate
10;282;282;Area_OP2-3-VS_R;Par;Posterior_Opercular
11;291;291;Anterior_Ventral_Insular_Area_R;Ins;Insular_and_Frontal_Opercular
12;335;302;Perirhinal_Ectorhinal_Cortex_R;Temp;Medial_Temporal
12;335;335;ParaHippocampal_Area_2_R;Temp;Medial_Temporal
13;139;78;Rostral_Area_6_L;Fr;Premotor
13;139;79;Area_IFJa_L;Fr;Inferior_Frontal
13;139;80;Area_IFJp_L;Fr;Inferior_Frontal
13;139;139;Area_TemporoParietoOccipital_Junction_1_L;Temp;Temporo-Parieto_Occipital_Junction
14;48;48;Area_Lateral_IntraParietal_ventral_L;Par;Superior_Parietal
14;48;124;ParaBelt_Complex_L;Temp;Early_Auditory
14;48;175;Auditory_4_Complex_L;Temp;Auditory_Association
15;228;228;Area_Lateral_IntraParietal_ventral_R;Par;Superior_Parietal
15;228;304;ParaBelt_Complex_R;Temp;Early_Auditory
15;228;355;Auditory_4_Complex_R;Temp;Auditory_Association
16;277;277;Inferior_6-8_Transitional_Area_R;Fr;Dorsolateral_Prefrontal
17;85;85;Area_anterior_9-46v_L;Fr;Dorsolateral_Prefrontal
18;120;120;Hippocampus_L;Temp;Medial_Temporal
19;301;301;ProStriate_Area_R;Par;Posterior_Cingulate
19;301;302;Perirhinal_Ectorhinal_Cortex_R;Temp;Medial_Temporal
20;351;351;Area_posterior_47r_R;Fr;Inferior_Frontal
21;263;263;Area_posterior_9-46v_R;Fr;Dorsolateral_Prefrontal
21;263;314;Area_TE2_anterior_R;Temp;Lateral_Temporal
22;95;11;Premotor_Eye_Field_L;Fr;Premotor
22;95;12;Area_55b_L;Fr;Premotor
22;95;95;Area_Lateral_IntraParietal_dorsal_L;Par;Superior_Parietal
22;95;175;Auditory_4_Complex_L;Temp;Auditory_Association
23;200;200;Area_Lateral_Occipital_1_R;Occ;MT+_Complex_and_Neighboring_Visual_Areas
24;265;265;Area_anterior_9-46v_R;Fr;Dorsolateral_Prefrontal
25;90;4;Second_Visual_Area_L;Occ;Early_Visual
25;90;13;Area_V3A_L;Occ;Dorsal_Stream_Visual
25;90;90;Polar_10p_L;Fr;Orbital_and_Polar_Frontal
26;234;234;Dorsal_area_6_R;Fr;Premotor
27;142;118;Entorhinal_Cortex_L;Temp;Medial_Temporal
27;142;142;Dorsal_Transitional_Visual_Area_L;Occ;Posterior_Cingulate
28;220;220;Dorsal_Area_24d_R;Fr;Paracentral_Lobular_and_Mid_Cingulate
29;133;75;Area_45_L;Fr;Inferior_Frontal
29;133;133;Area_TE1_posterior_L;Temp;Lateral_Temporal
29;133;149;Area_PFm_Complex_L;Par;Inferior_Parietal
30;150;150;Area_PGi_L;Par;Inferior_Parietal
31;75;1;Primary_Visual_Cortex_L;Occ;Primary_Visual
31;75;4;Second_Visual_Area_L;Occ;Early_Visual
31;75;5;Third_Visual_Area_L;Occ;Early_Visual
31;75;6;Fourth_Visual_Area_L;Occ;Early_Visual
31;75;16;Seventh_Visual_Area_L;Occ;Dorsal_Stream_Visual
31;75;50;Medial_IntraParietal_Area_L;Par;Superior_Parietal
31;75;75;Area_45_L;Fr;Inferior_Frontal
31;75;124;ParaBelt_Complex_L;Temp;Early_Auditory
31;75;131;Area_TG_dorsal_L;Temp;Lateral_Temporal
31;75;133;Area_TE1_posterior_L;Temp;Lateral_Temporal
31;75;175;Auditory_4_Complex_L;Temp;Auditory_Association
31;75;177;Area_TE1_Middle_L;Temp;Lateral_Temporal
32;86;86;Area_9-46d_L;Fr;Dorsolateral_Prefrontal
33;224;222;Lateral_Area_7A_R;Par;Superior_Parietal
33;224;224;Area_6m_anterior_R;Fr;Paracentral_Lobular_and_Mid_Cingulate
33;224;227;Area_7PC_R;Par;Superior_Parietal
33;224;254;Area_44_R;Fr;Inferior_Frontal
33;224;288;Frontal_Opercular_Area_4_R;Fr;Insular_and_Frontal_Opercular
33;224;289;Middle_Insular_Area_R;Ins;Insular_and_Frontal_Opercular
33;224;294;Frontal_Opercular_Area_3_R;Ins;Insular_and_Frontal_Opercular
34;327;327;Area_PF_Opercular_R;Par;Inferior_Parietal
35;201;201;Area_Lateral_Occipital_2_R;Occ;MT+_Complex_and_Neighboring_Visual_Areas
36;231;231;Area_1_R;Par;Somatosensory_and_Motor
36;231;328;Area_PF_Complex_R;Par;Inferior_Parietal
36;231;329;Area_PFm_Complex_R;Par;Inferior_Parietal
37;110;110;Pirform_Cortex_L;Temp;Insular_and_Frontal_Opercular
38;20;20;Area_Lateral_Occipital_1_L;Occ;MT+_Complex_and_Neighboring_Visual_Areas
39;22;4;Second_Visual_Area_L;Occ;Early_Visual
39;22;5;Third_Visual_Area_L;Occ;Early_Visual
39;22;13;Area_V3A_L;Occ;Dorsal_Stream_Visual
39;22;22;Posterior_InferoTemporal_complex_L;Occ;Ventral_Stream_Visual
40;18;18;Fusiform_Face_Complex_L;Temp;Ventral_Stream_Visual
40;18;143;Area_PGp_L;Occ;Inferior_Parietal
41;134;56;Ventral_Area_6_L;Fr;Premotor
41;134;73;Area_8C_L;Fr;Dorsolateral_Prefrontal
41;134;78;Rostral_Area_6_L;Fr;Premotor
41;134;79;Area_IFJa_L;Fr;Inferior_Frontal
41;134;80;Area_IFJp_L;Fr;Inferior_Frontal
41;134;81;Area_IFSp_L;Fr;Inferior_Frontal
41;134;82;Area_IFSa_L;Fr;Inferior_Frontal
41;134;83;Area_posterior_9-46v_L;Fr;Dorsolateral_Prefrontal
41;134;105;Area_PFcm_L;Par;Early_Auditory
41;134;134;Area_TE2_anterior_L;Temp;Lateral_Temporal
41;134;148;Area_PF_Complex_L;Par;Inferior_Parietal
42;290;290;Pirform_Cortex_R;Temp;Insular_and_Frontal_Opercular
43;77;1;Primary_Visual_Cortex_L;Occ;Primary_Visual
43;77;3;Sixth_Visual_Area_L;Occ;Dorsal_Stream_Visual
43;77;4;Second_Visual_Area_L;Occ;Early_Visual
43;77;5;Third_Visual_Area_L;Occ;Early_Visual
43;77;13;Area_V3A_L;Occ;Dorsal_Stream_Visual
43;77;45;Medial_Area_7A_L;Par;Superior_Parietal
43;77;46;Lateral_Area_7P_L;Par;Superior_Parietal
43;77;77;Area_anterior_47r_L;Fr;Inferior_Frontal
43;77;152;Area_V6A_L;Occ;Dorsal_Stream_Visual
44;107;1;Primary_Visual_Cortex_L;Occ;Primary_Visual
44;107;4;Second_Visual_Area_L;Occ;Early_Visual
44;107;5;Third_Visual_Area_L;Occ;Early_Visual
44;107;103;Area_52_L;Temp;Early_Auditory
44;107;107;Area_TA2_L;Temp;Auditory_Association
44;107;123;Area_STGa_L;Temp;Auditory_Association
44;107;125;Auditory_5_Complex_L;Temp;Auditory_Association
44;107;152;Area_V6A_L;Occ;Dorsal_Stream_Visual
