network_rank;network_id;region_id;region_longname;lobe;cortex
1;216;8;Primary_Motor_Cortex_L;Fr;Somatosensory_and_Motor
1;216;9;Primary_Sensory_Cortex_L;Par;Somatosensory_and_Motor
1;216;206;Superior_Frontal_Language_Area_R;Fr;Dorsolateral_Prefrontal
1;216;216;Area_5m_R;Par;Paracentral_Lobular_and_Mid_Cingulate
1;216;217;Area_5m_ventral_R;Par;Paracentral_Lobular_and_Mid_Cingulate
1;216;218;Area_23c_R;Par;Paracentral_Lobular_and_Mid_Cingulate
1;216;221;Ventral_Area_24d_R;Fr;Paracentral_Lobular_and_Mid_Cingulate
2;36;36;Area_5m_L;Par;Paracentral_Lobular_and_Mid_Cingulate
2;36;188;Primary_Motor_Cortex_R;Fr;Somatosensory_and_Motor
3;235;8;Primary_Motor_Cortex_L;Fr;Somatosensory_and_Motor
3;235;43;Supplementary_and_Cingulate_Eye_Field_L;Fr;Paracentral_Lobular_and_Mid_Cingulate
3;235;54;Dorsal_area_6_L;Fr;Premotor
3;235;55;Area_6mp_L;Fr;Paracentral_Lobular_and_Mid_Cingulate
3;235;188;Primary_Motor_Cortex_R;Fr;Somatosensory_and_Motor
3;235;235;Area_6mp_R;Fr;Paracentral_Lobular_and_Mid_Cingulate
3;235;236;Ventral_Area_6_R;Fr;Premotor
3;235;250;Area_8B_Lateral_R;Fr;Dorsolateral_Prefrontal
4;52;9;Primary_Sensory_Cortex_L;Par;Somatosensory_and_Motor
4;52;51;Area_1_L;Par;Somatosensory_and_Motor
4;52;52;Area_2_L;Par;Somatosensory_and_Motor
4;52;149;Area_PFm_Complex_L;Par;Inferior_Parietal
4;52;151;Area_PGs_L;Par;Inferior_Parietal
5;188;8;Primary_Motor_Cortex_L;Fr;Somatosensory_and_Motor
5;188;9;Primary_Sensory_Cortex_L;Par;Somatosensory_and_Motor
5;188;36;Area_5m_L;Par;Paracentral_Lobular_and_Mid_Cingulate
5;188;37;Area_5m_ventral_L;Par;Paracentral_Lobular_and_Mid_Cingulate
5;188;38;Area_23c_L;Par;Paracentral_Lobular_and_Mid_Cingulate
5;188;53;Area_3a_L;Fr;Somatosensory_and_Motor
5;188;54;Dorsal_area_6_L;Fr;Premotor
5;188;55;Area_6mp_L;Fr;Paracentral_Lobular_and_Mid_Cingulate
5;188;188;Primary_Motor_Cortex_R;Fr;Somatosensory_and_Motor
5;188;189;Primary_Sensory_Cortex_R;Fr;Somatosensory_and_Motor
5;188;206;Superior_Frontal_Language_Area_R;Fr;Dorsolateral_Prefrontal
5;188;221;Ventral_Area_24d_R;Fr;Paracentral_Lobular_and_Mid_Cingulate
5;188;222;Lateral_Area_7A_R;Par;Superior_Parietal
5;188;231;Area_1_R;Par;Somatosensory_and_Motor
5;188;233;Area_3a_R;Fr;Somatosensory_and_Motor
5;188;235;Area_6mp_R;Fr;Paracentral_Lobular_and_Mid_Cingulate
5;188;329;Area_PFm_Complex_R;Par;Inferior_Parietal
5;188;415;Putamen_R;;
5;188;418;Globus palidus externalis_R;;
5;188;426;Nucleus basalis_R;;
6;219;9;Primary_Sensory_Cortex_L;Par;Somatosensory_and_Motor
6;219;37;Area_5m_ventral_L;Par;Paracentral_Lobular_and_Mid_Cingulate
6;219;39;Area_5L_L;Par;Paracentral_Lobular_and_Mid_Cingulate
6;219;42;Lateral_Area_7A_L;Par;Superior_Parietal
6;219;45;Medial_Area_7A_L;Par;Superior_Parietal
6;219;71;Area_9_Posterior_L;Fr;Dorsolateral_Prefrontal
6;219;206;Superior_Frontal_Language_Area_R;Fr;Dorsolateral_Prefrontal
6;219;219;Area_5L_R;Par;Paracentral_Lobular_and_Mid_Cingulate
6;219;221;Ventral_Area_24d_R;Fr;Paracentral_Lobular_and_Mid_Cingulate
6;219;397;Thalamus: Centralmedian_R;;
6;219;406;Thalamus: Parafascicular_R;;
6;219;410;Thalamus: Pulvinar medial_R;;
6;219;413;Thalamus: Ventral Lateral Posterior_R;;
6;219;422;Substantia nigra pars reticulata_R;;
7;51;8;Primary_Motor_Cortex_L;Fr;Somatosensory_and_Motor
7;51;9;Primary_Sensory_Cortex_L;Par;Somatosensory_and_Motor
7;51;10;Frontal_Eye_Fields_L;Fr;Premotor
7;51;12;Area_55b_L;Fr;Premotor
7;51;42;Lateral_Area_7A_L;Par;Superior_Parietal
7;51;47;Area_7PC_L;Par;Superior_Parietal
7;51;51;Area_1_L;Par;Somatosensory_and_Motor
