network_rank;Network;Region ID;Region name;Lobe;Cortex
1;231;188;Primary_Motor_Cortex_R;Fr;Somatosensory_and_Motor
1;231;189;Primary_Sensory_Cortex_R;Fr;Somatosensory_and_Motor
1;231;190;Frontal_Eye_Fields_R;Fr;Premotor
1;231;192;Area_55b_R;Fr;Premotor
1;231;206;Superior_Frontal_Language_Area_R;Fr;Dorsolateral_Prefrontal
1;231;222;Lateral_Area_7A_R;Par;Superior_Parietal
1;231;227;Area_7PC_R;Par;Superior_Parietal
1;231;229;Ventral_IntraParietal_Complex_R;Par;Superior_Parietal
1;231;230;Medial_IntraParietal_Area_R;Par;Superior_Parietal
1;231;231;Area_1_R;Par;Somatosensory_and_Motor
1;231;232;Area_2_R;Par;Somatosensory_and_Motor
1;231;234;Dorsal_area_6_R;Fr;Premotor
1;231;236;Ventral_Area_6_R;Fr;Premotor
1;231;247;Area_8Av_R;Fr;Dorsolateral_Prefrontal
1;231;254;Area_44_R;Fr;Inferior_Frontal
1;231;261;Area_IFSp_R;Fr;Inferior_Frontal
1;231;263;Area_posterior_9-46v_R;Fr;Dorsolateral_Prefrontal
1;231;265;Area_anterior_9-46v_R;Fr;Dorsolateral_Prefrontal
1;231;277;Inferior_6-8_Transitional_Area_R;Fr;Dorsolateral_Prefrontal
1;231;288;Frontal_Opercular_Area_4_R;Fr;Insular_and_Frontal_Opercular
1;231;325;Area_IntraParietal_1_R;Par;Inferior_Parietal
1;231;329;Area_PFm_Complex_R;Par;Inferior_Parietal
1;231;331;Area_PGs_R;Par;Inferior_Parietal
1;231;349;Area_Frontal_Opercular_5_R;Ins;Insular_and_Frontal_Opercular
2;189;9;Primary_Sensory_Cortex_L;Par;Somatosensory_and_Motor
2;189;37;Area_5m_ventral_L;Par;Paracentral_Lobular_and_Mid_Cingulate
2;189;39;Area_5L_L;Par;Paracentral_Lobular_and_Mid_Cingulate
2;189;188;Primary_Motor_Cortex_R;Fr;Somatosensory_and_Motor
2;189;189;Primary_Sensory_Cortex_R;Fr;Somatosensory_and_Motor
2;189;222;Lateral_Area_7A_R;Par;Superior_Parietal
2;189;231;Area_1_R;Par;Somatosensory_and_Motor
2;189;234;Dorsal_area_6_R;Fr;Premotor
2;189;247;Area_8Av_R;Fr;Dorsolateral_Prefrontal
2;189;415;Putamen_R;;
2;189;418;Globus palidus externalis_R;;
3;234;8;Primary_Motor_Cortex_L;Fr;Somatosensory_and_Motor
3;234;26;Superior_Frontal_Language_Area_L;Fr;Dorsolateral_Prefrontal
3;234;55;Area_6mp_L;Fr;Paracentral_Lobular_and_Mid_Cingulate
3;234;189;Primary_Sensory_Cortex_R;Fr;Somatosensory_and_Motor
3;234;206;Superior_Frontal_Language_Area_R;Fr;Dorsolateral_Prefrontal
3;234;222;Lateral_Area_7A_R;Par;Superior_Parietal
3;234;224;Area_6m_anterior_R;Fr;Paracentral_Lobular_and_Mid_Cingulate
3;234;231;Area_1_R;Par;Somatosensory_and_Motor
3;234;234;Dorsal_area_6_R;Fr;Premotor
3;234;250;Area_8B_Lateral_R;Fr;Dorsolateral_Prefrontal
3;234;254;Area_44_R;Fr;Inferior_Frontal
3;234;257;Area_anterior_47r_R;Fr;Inferior_Frontal
3;234;258;Rostral_Area_6_R;Fr;Premotor
3;234;261;Area_IFSp_R;Fr;Inferior_Frontal
3;234;263;Area_posterior_9-46v_R;Fr;Dorsolateral_Prefrontal
3;234;265;Area_anterior_9-46v_R;Fr;Dorsolateral_Prefrontal
3;234;276;Area_6_anterior_R;Fr;Premotor
3;234;277;Inferior_6-8_Transitional_Area_R;Fr;Dorsolateral_Prefrontal
3;234;349;Area_Frontal_Opercular_5_R;Ins;Insular_and_Frontal_Opercular
4;55;8;Primary_Motor_Cortex_L;Fr;Somatosensory_and_Motor
4;55;12;Area_55b_L;Fr;Premotor
4;55;39;Area_5L_L;Par;Paracentral_Lobular_and_Mid_Cingulate
4;55;42;Lateral_Area_7A_L;Par;Superior_Parietal
4;55;55;Area_6mp_L;Fr;Paracentral_Lobular_and_Mid_Cingulate
4;55;56;Ventral_Area_6_L;Fr;Premotor
4;55;67;Area_8Av_L;Fr;Dorsolateral_Prefrontal
4;55;78;Rostral_Area_6_L;Fr;Premotor
4;55;85;Area_anterior_9-46v_L;Fr;Dorsolateral_Prefrontal
4;55;96;Area_6_anterior_L;Fr;Premotor
4;55;99;Area_43_L;Fr;Posterior_Opercular
4;55;151;Area_PGs_L;Par;Inferior_Parietal
4;55;188;Primary_Motor_Cortex_R;Fr;Somatosensory_and_Motor
4;55;190;Frontal_Eye_Fields_R;Fr;Premotor
4;55;192;Area_55b_R;Fr;Premotor
4;55;194;RetroSplenial_Complex_R;Par;Posterior_Cingulate
4;55;206;Superior_Frontal_Language_Area_R;Fr;Dorsolateral_Prefrontal
4;55;223;Supplementary_and_Cingulate_Eye_Field_R;Fr;Paracentral_Lobular_and_Mid_Cingulate
4;55;234;Dorsal_area_6_R;Fr;Premotor
4;55;235;Area_6mp_R;Fr;Paracentral_Lobular_and_Mid_Cingulate
5;8;8;Primary_Motor_Cortex_L;Fr;Somatosensory_and_Motor
5;8;9;Primary_Sensory_Cortex_L;Par;Somatosensory_and_Motor
5;8;10;Frontal_Eye_Fields_L;Fr;Premotor
5;8;43;Supplementary_and_Cingulate_Eye_Field_L;Fr;Paracentral_Lobular_and_Mid_Cingulate
5;8;51;Area_1_L;Par;Somatosensory_and_Motor
5;8;53;Area_3a_L;Fr;Somatosensory_and_Motor
5;8;54;Dorsal_area_6_L;Fr;Premotor
5;8;55;Area_6mp_L;Fr;Paracentral_Lobular_and_Mid_Cingulate
5;8;67;Area_8Av_L;Fr;Dorsolateral_Prefrontal
5;8;133;Area_TE1_posterior_L;Temp;Lateral_Temporal
5;8;137;Area_PHT_L;Temp;Lateral_Temporal
5;8;148;Area_PF_Complex_L;Par;Inferior_Parietal
5;8;149;Area_PFm_Complex_L;Par;Inferior_Parietal
5;8;188;Primary_Motor_Cortex_R;Fr;Somatosensory_and_Motor
5;8;194;RetroSplenial_Complex_R;Par;Posterior_Cingulate
5;8;209;Medial_Area_7P_R;Par;Superior_Parietal
5;8;213;Area_ventral_23_a+b_R;Par;Posterior_Cingulate
5;8;216;Area_5m_R;Par;Paracentral_Lobular_and_Mid_Cingulate
5;8;225;Medial_Area_7A_R;Par;Superior_Parietal
5;8;233;Area_3a_R;Fr;Somatosensory_and_Motor
5;8;234;Dorsal_area_6_R;Fr;Premotor
5;8;235;Area_6mp_R;Fr;Paracentral_Lobular_and_Mid_Cingulate
5;8;377;Thalamus: Pulvinar medial_L;;
5;8;382;Putamen_L;;
6;36;36;Area_5m_L;Par;Paracentral_Lobular_and_Mid_Cingulate
6;36;188;Primary_Motor_Cortex_R;Fr;Somatosensory_and_Motor
7;232;222;Lateral_Area_7A_R;Par;Superior_Parietal
7;232;227;Area_7PC_R;Par;Superior_Parietal
7;232;231;Area_1_R;Par;Somatosensory_and_Motor
7;232;232;Area_2_R;Par;Somatosensory_and_Motor
8;168;106;Posterior_Insular_Area_2_L;Ins;Insular_and_Frontal_Opercular
8;168;168;Insular_Granular_Complex_L;Ins;Insular_and_Frontal_Opercular
9;53;8;Primary_Motor_Cortex_L;Fr;Somatosensory_and_Motor
9;53;9;Primary_Sensory_Cortex_L;Par;Somatosensory_and_Motor
9;53;51;Area_1_L;Par;Somatosensory_and_Motor
9;53;53;Area_3a_L;Fr;Somatosensory_and_Motor
9;53;149;Area_PFm_Complex_L;Par;Inferior_Parietal
9;53;188;Primary_Motor_Cortex_R;Fr;Somatosensory_and_Motor
10;76;1;Primary_Visual_Cortex_L;Occ;Primary_Visual
10;76;3;Sixth_Visual_Area_L;Occ;Dorsal_Stream_Visual
10;76;4;Second_Visual_Area_L;Occ;Early_Visual
10;76;76;Area_47l_(47_lateral)_L;Fr;Inferior_Frontal
10;76;111;Anterior_Ventral_Insular_Area_L;Fr;Insular_and_Frontal_Opercular
10;76;112;Anterior_Agranular_Insula_Complex_L;Ins;Insular_and_Frontal_Opercular
10;76;131;Area_TG_dorsal_L;Temp;Lateral_Temporal
10;76;143;Area_PGp_L;Occ;Inferior_Parietal
10;76;151;Area_PGs_L;Par;Inferior_Parietal
11;216;8;Primary_Motor_Cortex_L;Fr;Somatosensory_and_Motor
11;216;9;Primary_Sensory_Cortex_L;Par;Somatosensory_and_Motor
11;216;206;Superior_Frontal_Language_Area_R;Fr;Dorsolateral_Prefrontal
11;216;216;Area_5m_R;Par;Paracentral_Lobular_and_Mid_Cingulate
11;216;217;Area_5m_ventral_R;Par;Paracentral_Lobular_and_Mid_Cingulate
11;216;218;Area_23c_R;Par;Paracentral_Lobular_and_Mid_Cingulate
11;216;221;Ventral_Area_24d_R;Fr;Paracentral_Lobular_and_Mid_Cingulate
12;220;220;Dorsal_Area_24d_R;Fr;Paracentral_Lobular_and_Mid_Cingulate
