network_rank;Network;Region ID;Region name;Lobe;Cortex
1;54;8;Primary_Motor_Cortex_L;Fr;Somatosensory_and_Motor
1;54;9;Primary_Sensory_Cortex_L;Par;Somatosensory_and_Motor
1;54;10;Frontal_Eye_Fields_L;Fr;Premotor
1;54;44;Area_6m_anterior_L;Fr;Paracentral_Lobular_and_Mid_Cingulate
1;54;51;Area_1_L;Par;Somatosensory_and_Motor
1;54;54;Dorsal_area_6_L;Fr;Premotor
1;54;67;Area_8Av_L;Fr;Dorsolateral_Prefrontal
1;54;84;Area_46_L;Fr;Dorsolateral_Prefrontal
1;54;85;Area_anterior_9-46v_L;Fr;Dorsolateral_Prefrontal
1;54;96;Area_6_anterior_L;Fr;Premotor
1;54;97;Inferior_6-8_Transitional_Area_L;Fr;Dorsolateral_Prefrontal
1;54;151;Area_PGs_L;Par;Inferior_Parietal
1;54;188;Primary_Motor_Cortex_R;Fr;Somatosensory_and_Motor
1;54;190;Frontal_Eye_Fields_R;Fr;Premotor
1;54;192;Area_55b_R;Fr;Premotor
1;54;206;Superior_Frontal_Language_Area_R;Fr;Dorsolateral_Prefrontal
1;54;223;Supplementary_and_Cingulate_Eye_Field_R;Fr;Paracentral_Lobular_and_Mid_Cingulate
1;54;235;Area_6mp_R;Fr;Paracentral_Lobular_and_Mid_Cingulate
2;9;8;Primary_Motor_Cortex_L;Fr;Somatosensory_and_Motor
2;9;9;Primary_Sensory_Cortex_L;Par;Somatosensory_and_Motor
2;9;10;Frontal_Eye_Fields_L;Fr;Premotor
2;9;12;Area_55b_L;Fr;Premotor
2;9;48;Area_Lateral_IntraParietal_ventral_L;Par;Superior_Parietal
2;9;51;Area_1_L;Par;Somatosensory_and_Motor
2;9;52;Area_2_L;Par;Somatosensory_and_Motor
2;9;53;Area_3a_L;Fr;Somatosensory_and_Motor
2;9;54;Dorsal_area_6_L;Fr;Premotor
2;9;67;Area_8Av_L;Fr;Dorsolateral_Prefrontal
2;9;75;Area_45_L;Fr;Inferior_Frontal
2;9;85;Area_anterior_9-46v_L;Fr;Dorsolateral_Prefrontal
2;9;106;Posterior_Insular_Area_2_L;Ins;Insular_and_Frontal_Opercular
2;9;108;Frontal_Opercular_Area_4_L;Fr;Insular_and_Frontal_Opercular
2;9;109;Middle_Insular_Area_L;Ins;Insular_and_Frontal_Opercular
2;9;110;Pirform_Cortex_L;Temp;Insular_and_Frontal_Opercular
2;9;149;Area_PFm_Complex_L;Par;Inferior_Parietal
2;9;151;Area_PGs_L;Par;Inferior_Parietal
2;9;169;Area_Frontal_Opercular_5_L;Fr;Insular_and_Frontal_Opercular
2;9;188;Primary_Motor_Cortex_R;Fr;Somatosensory_and_Motor
2;9;189;Primary_Sensory_Cortex_R;Fr;Somatosensory_and_Motor
2;9;194;RetroSplenial_Complex_R;Par;Posterior_Cingulate
2;9;213;Area_ventral_23_a+b_R;Par;Posterior_Cingulate
2;9;216;Area_5m_R;Par;Paracentral_Lobular_and_Mid_Cingulate
2;9;217;Area_5m_ventral_R;Par;Paracentral_Lobular_and_Mid_Cingulate
2;9;219;Area_5L_R;Par;Paracentral_Lobular_and_Mid_Cingulate
2;9;225;Medial_Area_7A_R;Par;Superior_Parietal
2;9;233;Area_3a_R;Fr;Somatosensory_and_Motor
3;51;8;Primary_Motor_Cortex_L;Fr;Somatosensory_and_Motor
3;51;9;Primary_Sensory_Cortex_L;Par;Somatosensory_and_Motor
3;51;10;Frontal_Eye_Fields_L;Fr;Premotor
3;51;12;Area_55b_L;Fr;Premotor
3;51;42;Lateral_Area_7A_L;Par;Superior_Parietal
3;51;47;Area_7PC_L;Par;Superior_Parietal
3;51;51;Area_1_L;Par;Somatosensory_and_Motor
3;51;52;Area_2_L;Par;Somatosensory_and_Motor
3;51;53;Area_3a_L;Fr;Somatosensory_and_Motor
3;51;54;Dorsal_area_6_L;Fr;Premotor
3;51;67;Area_8Av_L;Fr;Dorsolateral_Prefrontal
3;51;73;Area_8C_L;Fr;Dorsolateral_Prefrontal
3;51;74;Area_44_L;Fr;Inferior_Frontal
3;51;75;Area_45_L;Fr;Inferior_Frontal
3;51;78;Rostral_Area_6_L;Fr;Premotor
3;51;84;Area_46_L;Fr;Dorsolateral_Prefrontal
3;51;106;Posterior_Insular_Area_2_L;Ins;Insular_and_Frontal_Opercular
3;51;108;Frontal_Opercular_Area_4_L;Fr;Insular_and_Frontal_Opercular
3;51;109;Middle_Insular_Area_L;Ins;Insular_and_Frontal_Opercular
3;51;110;Pirform_Cortex_L;Temp;Insular_and_Frontal_Opercular
3;51;112;Anterior_Agranular_Insula_Complex_L;Ins;Insular_and_Frontal_Opercular
3;51;134;Area_TE2_anterior_L;Temp;Lateral_Temporal
3;51;137;Area_PHT_L;Temp;Lateral_Temporal
3;51;149;Area_PFm_Complex_L;Par;Inferior_Parietal
3;51;151;Area_PGs_L;Par;Inferior_Parietal
3;51;169;Area_Frontal_Opercular_5_L;Fr;Insular_and_Frontal_Opercular
4;40;40;Dorsal_Area_24d_L;Fr;Paracentral_Lobular_and_Mid_Cingulate
4;40;364;Thalamus: Centralmedian_L;;
4;40;370;Thalamus: Mediodorsomedial magnocellular_L;;
4;40;377;Thalamus: Pulvinar medial_L;;
4;40;379;Thalamus: Ventral Lateral Anterior_L;;
4;40;380;Thalamus: Ventral Lateral Posterior_L;;
4;40;382;Putamen_L;;
4;40;385;Globus palidus externalis_L;;
4;40;389;Substantia nigra pars reticulata_L;;
5;223;10;Frontal_Eye_Fields_L;Fr;Premotor
5;223;26;Superior_Frontal_Language_Area_L;Fr;Dorsolateral_Prefrontal
5;223;43;Supplementary_and_Cingulate_Eye_Field_L;Fr;Paracentral_Lobular_and_Mid_Cingulate
5;223;54;Dorsal_area_6_L;Fr;Premotor
5;223;55;Area_6mp_L;Fr;Paracentral_Lobular_and_Mid_Cingulate
5;223;206;Superior_Frontal_Language_Area_R;Fr;Dorsolateral_Prefrontal
5;223;223;Supplementary_and_Cingulate_Eye_Field_R;Fr;Paracentral_Lobular_and_Mid_Cingulate
5;223;225;Medial_Area_7A_R;Par;Superior_Parietal
5;223;236;Ventral_Area_6_R;Fr;Premotor
5;223;240;Area_p32_prime_R;Fr;Anterior_Cingulate_and_Medial_Prefrontal
5;223;258;Rostral_Area_6_R;Fr;Premotor
5;223;415;Putamen_R;;
5;223;422;Substantia nigra pars reticulata_R;;
6;52;9;Primary_Sensory_Cortex_L;Par;Somatosensory_and_Motor
6;52;51;Area_1_L;Par;Somatosensory_and_Motor
6;52;52;Area_2_L;Par;Somatosensory_and_Motor
6;52;149;Area_PFm_Complex_L;Par;Inferior_Parietal
6;52;151;Area_PGs_L;Par;Inferior_Parietal
7;189;9;Primary_Sensory_Cortex_L;Par;Somatosensory_and_Motor
7;189;37;Area_5m_ventral_L;Par;Paracentral_Lobular_and_Mid_Cingulate
7;189;39;Area_5L_L;Par;Paracentral_Lobular_and_Mid_Cingulate
7;189;188;Primary_Motor_Cortex_R;Fr;Somatosensory_and_Motor
7;189;189;Primary_Sensory_Cortex_R;Fr;Somatosensory_and_Motor
7;189;222;Lateral_Area_7A_R;Par;Superior_Parietal
7;189;231;Area_1_R;Par;Somatosensory_and_Motor
7;189;234;Dorsal_area_6_R;Fr;Premotor
7;189;247;Area_8Av_R;Fr;Dorsolateral_Prefrontal
7;189;415;Putamen_R;;
7;189;418;Globus palidus externalis_R;;
8;188;8;Primary_Motor_Cortex_L;Fr;Somatosensory_and_Motor
8;188;9;Primary_Sensory_Cortex_L;Par;Somatosensory_and_Motor
8;188;36;Area_5m_L;Par;Paracentral_Lobular_and_Mid_Cingulate
8;188;37;Area_5m_ventral_L;Par;Paracentral_Lobular_and_Mid_Cingulate
8;188;38;Area_23c_L;Par;Paracentral_Lobular_and_Mid_Cingulate
8;188;53;Area_3a_L;Fr;Somatosensory_and_Motor
8;188;54;Dorsal_area_6_L;Fr;Premotor
8;188;55;Area_6mp_L;Fr;Paracentral_Lobular_and_Mid_Cingulate
8;188;188;Primary_Motor_Cortex_R;Fr;Somatosensory_and_Motor
8;188;189;Primary_Sensory_Cortex_R;Fr;Somatosensory_and_Motor
8;188;206;Superior_Frontal_Language_Area_R;Fr;Dorsolateral_Prefrontal
8;188;221;Ventral_Area_24d_R;Fr;Paracentral_Lobular_and_Mid_Cingulate
8;188;222;Lateral_Area_7A_R;Par;Superior_Parietal
8;188;231;Area_1_R;Par;Somatosensory_and_Motor
8;188;233;Area_3a_R;Fr;Somatosensory_and_Motor
8;188;235;Area_6mp_R;Fr;Paracentral_Lobular_and_Mid_Cingulate
8;188;329;Area_PFm_Complex_R;Par;Inferior_Parietal
8;188;415;Putamen_R;;
