network_rank;Network;Region ID;Region name;Lobe;Cortex
1;53;8;Primary_Motor_Cortex_L;Fr;Somatosensory_and_Motor
1;53;9;Primary_Sensory_Cortex_L;Par;Somatosensory_and_Motor
1;53;51;Area_1_L;Par;Somatosensory_and_Motor
1;53;53;Area_3a_L;Fr;Somatosensory_and_Motor
1;53;149;Area_PFm_Complex_L;Par;Inferior_Parietal
1;53;188;Primary_Motor_Cortex_R;Fr;Somatosensory_and_Motor
2;36;36;Area_5m_L;Par;Paracentral_Lobular_and_Mid_Cingulate
2;36;188;Primary_Motor_Cortex_R;Fr;Somatosensory_and_Motor
3;236;206;Superior_Frontal_Language_Area_R;Fr;Dorsolateral_Prefrontal
3;236;223;Supplementary_and_Cingulate_Eye_Field_R;Fr;Paracentral_Lobular_and_Mid_Cingulate
3;236;224;Area_6m_anterior_R;Fr;Paracentral_Lobular_and_Mid_Cingulate
3;236;231;Area_1_R;Par;Somatosensory_and_Motor
3;236;235;Area_6mp_R;Fr;Paracentral_Lobular_and_Mid_Cingulate
3;236;236;Ventral_Area_6_R;Fr;Premotor
3;236;253;Area_8C_R;Fr;Dorsolateral_Prefrontal
3;236;254;Area_44_R;Fr;Inferior_Frontal
3;236;257;Area_anterior_47r_R;Fr;Inferior_Frontal
3;236;261;Area_IFSp_R;Fr;Inferior_Frontal
3;236;329;Area_PFm_Complex_R;Par;Inferior_Parietal
3;236;415;Putamen_R;;
4;100;100;Area_OP4-PV_L;Par;Posterior_Opercular
4;100;148;Area_PF_Complex_L;Par;Inferior_Parietal
5;55;8;Primary_Motor_Cortex_L;Fr;Somatosensory_and_Motor
5;55;12;Area_55b_L;Fr;Premotor
5;55;39;Area_5L_L;Par;Paracentral_Lobular_and_Mid_Cingulate
5;55;42;Lateral_Area_7A_L;Par;Superior_Parietal
5;55;55;Area_6mp_L;Fr;Paracentral_Lobular_and_Mid_Cingulate
5;55;56;Ventral_Area_6_L;Fr;Premotor
5;55;67;Area_8Av_L;Fr;Dorsolateral_Prefrontal
5;55;78;Rostral_Area_6_L;Fr;Premotor
5;55;85;Area_anterior_9-46v_L;Fr;Dorsolateral_Prefrontal
5;55;96;Area_6_anterior_L;Fr;Premotor
5;55;99;Area_43_L;Fr;Posterior_Opercular
5;55;151;Area_PGs_L;Par;Inferior_Parietal
5;55;188;Primary_Motor_Cortex_R;Fr;Somatosensory_and_Motor
5;55;190;Frontal_Eye_Fields_R;Fr;Premotor
5;55;192;Area_55b_R;Fr;Premotor
5;55;194;RetroSplenial_Complex_R;Par;Posterior_Cingulate
5;55;206;Superior_Frontal_Language_Area_R;Fr;Dorsolateral_Prefrontal
5;55;223;Supplementary_and_Cingulate_Eye_Field_R;Fr;Paracentral_Lobular_and_Mid_Cingulate
5;55;234;Dorsal_area_6_R;Fr;Premotor
5;55;235;Area_6mp_R;Fr;Paracentral_Lobular_and_Mid_Cingulate
6;54;8;Primary_Motor_Cortex_L;Fr;Somatosensory_and_Motor
6;54;9;Primary_Sensory_Cortex_L;Par;Somatosensory_and_Motor
6;54;10;Frontal_Eye_Fields_L;Fr;Premotor
6;54;44;Area_6m_anterior_L;Fr;Paracentral_Lobular_and_Mid_Cingulate
6;54;51;Area_1_L;Par;Somatosensory_and_Motor
6;54;54;Dorsal_area_6_L;Fr;Premotor
6;54;67;Area_8Av_L;Fr;Dorsolateral_Prefrontal
6;54;84;Area_46_L;Fr;Dorsolateral_Prefrontal
6;54;85;Area_anterior_9-46v_L;Fr;Dorsolateral_Prefrontal
6;54;96;Area_6_anterior_L;Fr;Premotor
6;54;97;Inferior_6-8_Transitional_Area_L;Fr;Dorsolateral_Prefrontal
6;54;151;Area_PGs_L;Par;Inferior_Parietal
6;54;188;Primary_Motor_Cortex_R;Fr;Somatosensory_and_Motor
6;54;190;Frontal_Eye_Fields_R;Fr;Premotor
6;54;192;Area_55b_R;Fr;Premotor
6;54;206;Superior_Frontal_Language_Area_R;Fr;Dorsolateral_Prefrontal
6;54;223;Supplementary_and_Cingulate_Eye_Field_R;Fr;Paracentral_Lobular_and_Mid_Cingulate
6;54;235;Area_6mp_R;Fr;Paracentral_Lobular_and_Mid_Cingulate
7;116;116;Area_PFt_L;Par;Inferior_Parietal
7;116;149;Area_PFm_Complex_L;Par;Inferior_Parietal
8;280;280;Area_OP4-PV_R;Par;Posterior_Opercular
8;280;296;Area_PFt_R;Par;Inferior_Parietal
9;189;9;Primary_Sensory_Cortex_L;Par;Somatosensory_and_Motor
9;189;37;Area_5m_ventral_L;Par;Paracentral_Lobular_and_Mid_Cingulate
9;189;39;Area_5L_L;Par;Paracentral_Lobular_and_Mid_Cingulate
9;189;188;Primary_Motor_Cortex_R;Fr;Somatosensory_and_Motor
9;189;189;Primary_Sensory_Cortex_R;Fr;Somatosensory_and_Motor
9;189;222;Lateral_Area_7A_R;Par;Superior_Parietal
9;189;231;Area_1_R;Par;Somatosensory_and_Motor
9;189;234;Dorsal_area_6_R;Fr;Premotor
9;189;247;Area_8Av_R;Fr;Dorsolateral_Prefrontal
9;189;415;Putamen_R;;
9;189;418;Globus palidus externalis_R;;
10;42;26;Superior_Frontal_Language_Area_L;Fr;Dorsolateral_Prefrontal
10;42;42;Lateral_Area_7A_L;Par;Superior_Parietal
10;42;43;Supplementary_and_Cingulate_Eye_Field_L;Fr;Paracentral_Lobular_and_Mid_Cingulate
10;42;51;Area_1_L;Par;Somatosensory_and_Motor
10;42;55;Area_6mp_L;Fr;Paracentral_Lobular_and_Mid_Cingulate
10;42;71;Area_9_Posterior_L;Fr;Dorsolateral_Prefrontal
10;42;75;Area_45_L;Fr;Inferior_Frontal
10;42;99;Area_43_L;Fr;Posterior_Opercular
10;42;106;Posterior_Insular_Area_2_L;Ins;Insular_and_Frontal_Opercular
10;42;108;Frontal_Opercular_Area_4_L;Fr;Insular_and_Frontal_Opercular
10;42;110;Pirform_Cortex_L;Temp;Insular_and_Frontal_Opercular
10;42;149;Area_PFm_Complex_L;Par;Inferior_Parietal
10;42;151;Area_PGs_L;Par;Inferior_Parietal
10;42;169;Area_Frontal_Opercular_5_L;Fr;Insular_and_Frontal_Opercular
10;42;195;Parieto-Occipital_Sulcus_Area_2_R;Par;Posterior_Cingulate
10;42;207;PreCuneus_Visual_Area_R;Par;Posterior_Cingulate
10;42;209;Medial_Area_7P_R;Par;Superior_Parietal
10;42;210;Area_7m_R;Par;Posterior_Cingulate
10;42;217;Area_5m_ventral_R;Par;Paracentral_Lobular_and_Mid_Cingulate
10;42;219;Area_5L_R;Par;Paracentral_Lobular_and_Mid_Cingulate
10;42;222;Lateral_Area_7A_R;Par;Superior_Parietal
10;42;225;Medial_Area_7A_R;Par;Superior_Parietal
11;52;9;Primary_Sensory_Cortex_L;Par;Somatosensory_and_Motor
11;52;51;Area_1_L;Par;Somatosensory_and_Motor
11;52;52;Area_2_L;Par;Somatosensory_and_Motor
11;52;149;Area_PFm_Complex_L;Par;Inferior_Parietal
11;52;151;Area_PGs_L;Par;Inferior_Parietal
12;8;8;Primary_Motor_Cortex_L;Fr;Somatosensory_and_Motor
12;8;9;Primary_Sensory_Cortex_L;Par;Somatosensory_and_Motor
12;8;10;Frontal_Eye_Fields_L;Fr;Premotor
12;8;43;Supplementary_and_Cingulate_Eye_Field_L;Fr;Paracentral_Lobular_and_Mid_Cingulate
12;8;51;Area_1_L;Par;Somatosensory_and_Motor
12;8;53;Area_3a_L;Fr;Somatosensory_and_Motor
12;8;54;Dorsal_area_6_L;Fr;Premotor
12;8;55;Area_6mp_L;Fr;Paracentral_Lobular_and_Mid_Cingulate
12;8;67;Area_8Av_L;Fr;Dorsolateral_Prefrontal
12;8;133;Area_TE1_posterior_L;Temp;Lateral_Temporal
12;8;137;Area_PHT_L;Temp;Lateral_Temporal
12;8;148;Area_PF_Complex_L;Par;Inferior_Parietal
12;8;149;Area_PFm_Complex_L;Par;Inferior_Parietal
12;8;188;Primary_Motor_Cortex_R;Fr;Somatosensory_and_Motor
12;8;194;RetroSplenial_Complex_R;Par;Posterior_Cingulate
12;8;209;Medial_Area_7P_R;Par;Superior_Parietal
12;8;213;Area_ventral_23_a+b_R;Par;Posterior_Cingulate
12;8;216;Area_5m_R;Par;Paracentral_Lobular_and_Mid_Cingulate
12;8;225;Medial_Area_7A_R;Par;Superior_Parietal
12;8;233;Area_3a_R;Fr;Somatosensory_and_Motor
12;8;234;Dorsal_area_6_R;Fr;Premotor
12;8;235;Area_6mp_R;Fr;Paracentral_Lobular_and_Mid_Cingulate
12;8;377;Thalamus: Pulvinar medial_L;;
12;8;382;Putamen_L;;
13;223;10;Frontal_Eye_Fields_L;Fr;Premotor
13;223;26;Superior_Frontal_Language_Area_L;Fr;Dorsolateral_Prefrontal
13;223;43;Supplementary_and_Cingulate_Eye_Field_L;Fr;Paracentral_Lobular_and_Mid_Cingulate
13;223;54;Dorsal_area_6_L;Fr;Premotor
13;223;55;Area_6mp_L;Fr;Paracentral_Lobular_and_Mid_Cingulate
13;223;206;Superior_Frontal_Language_Area_R;Fr;Dorsolateral_Prefrontal
13;223;223;Supplementary_and_Cingulate_Eye_Field_R;Fr;Paracentral_Lobular_and_Mid_Cingulate
13;223;225;Medial_Area_7A_R;Par;Superior_Parietal
13;223;236;Ventral_Area_6_R;Fr;Premotor
13;223;240;Area_p32_prime_R;Fr;Anterior_Cingulate_and_Medial_Prefrontal
13;223;258;Rostral_Area_6_R;Fr;Premotor
13;223;415;Putamen_R;;
13;223;422;Substantia nigra pars reticulata_R;;
14;233;8;Primary_Motor_Cortex_L;Fr;Somatosensory_and_Motor
14;233;9;Primary_Sensory_Cortex_L;Par;Somatosensory_and_Motor
14;233;37;Area_5m_ventral_L;Par;Paracentral_Lobular_and_Mid_Cingulate
14;233;188;Primary_Motor_Cortex_R;Fr;Somatosensory_and_Motor
14;233;222;Lateral_Area_7A_R;Par;Superior_Parietal
14;233;233;Area_3a_R;Fr;Somatosensory_and_Motor
15;40;40;Dorsal_Area_24d_L;Fr;Paracentral_Lobular_and_Mid_Cingulate
15;40;364;Thalamus: Centralmedian_L;;
15;40;370;Thalamus: Mediodorsomedial magnocellular_L;;
15;40;377;Thalamus: Pulvinar medial_L;;
