network_rank;Network;Region ID;Region name;Lobe;Cortex
1;148;8;Primary_Motor_Cortex_L;Fr;Somatosensory_and_Motor
1;148;47;Area_7PC_L;Par;Superior_Parietal
1;148;99;Area_43_L;Fr;Posterior_Opercular
1;148;100;Area_OP4-PV_L;Par;Posterior_Opercular
1;148;134;Area_TE2_anterior_L;Temp;Lateral_Temporal
1;148;148;Area_PF_Complex_L;Par;Inferior_Parietal
2;13;1;Primary_Visual_Cortex_L;Occ;Primary_Visual
2;13;6;Fourth_Visual_Area_L;Occ;Early_Visual
2;13;13;Area_V3A_L;Occ;Dorsal_Stream_Visual
2;13;18;Fusiform_Face_Complex_L;Temp;Ventral_Stream_Visual
2;13;22;Posterior_InferoTemporal_complex_L;Occ;Ventral_Stream_Visual
2;13;77;Area_anterior_47r_L;Fr;Inferior_Frontal
2;13;91;Area_11l_L;Fr;Orbital_and_Polar_Frontal
2;13;123;Area_STGa_L;Temp;Auditory_Association
2;13;128;Area_STSd_anterior_L;Temp;Auditory_Association
2;13;135;Area_TF_L;Temp;Medial_Temporal
2;13;169;Area_Frontal_Opercular_5_L;Fr;Insular_and_Frontal_Opercular
2;13;176;Area_STSv_anterior_L;Temp;Auditory_Association
2;13;181;Primary_Visual_Cortex_R;Occ;Primary_Visual
2;13;183;Sixth_Visual_Area_R;Occ;Dorsal_Stream_Visual
2;13;184;Second_Visual_Area_R;Occ;Early_Visual
2;13;185;Third_Visual_Area_R;Occ;Early_Visual
2;13;193;Area_V3A_R;Occ;Dorsal_Stream_Visual
2;13;195;Parieto-Occipital_Sulcus_Area_2_R;Par;Posterior_Cingulate
2;13;197;IntraParietal_Sulcus_Area_1_R;Par;Dorsal_Stream_Visual
2;13;267;Area_9_anterior_R;Fr;Dorsolateral_Prefrontal
2;13;322;Dorsal_Transitional_Visual_Area_R;Par;Posterior_Cingulate
2;13;350;Area_posterior_10p_R;Fr;Orbital_and_Polar_Frontal
3;199;196;Seventh_Visual_Area_R;Occ;Dorsal_Stream_Visual
3;199;199;Area_V3B_R;Occ;Dorsal_Stream_Visual
3;199;200;Area_Lateral_Occipital_1_R;Occ;MT+_Complex_and_Neighboring_Visual_Areas
3;199;201;Area_Lateral_Occipital_2_R;Occ;MT+_Complex_and_Neighboring_Visual_Areas
3;199;257;Area_anterior_47r_R;Fr;Inferior_Frontal
3;199;307;ParaHippocampal_Area_3_R;Temp;Medial_Temporal
3;199;322;Dorsal_Transitional_Visual_Area_R;Par;Posterior_Cingulate
3;199;332;Area_V6A_R;Par;Dorsal_Stream_Visual
4;177;74;Area_44_L;Fr;Inferior_Frontal
4;177;84;Area_46_L;Fr;Dorsolateral_Prefrontal
4;177;149;Area_PFm_Complex_L;Par;Inferior_Parietal
4;177;177;Area_TE1_Middle_L;Temp;Lateral_Temporal
5;355;229;Ventral_IntraParietal_Complex_R;Par;Superior_Parietal
5;355;257;Area_anterior_47r_R;Fr;Inferior_Frontal
5;355;323;Area_PGp_R;Par;Inferior_Parietal
5;355;331;Area_PGs_R;Par;Inferior_Parietal
5;355;355;Auditory_4_Complex_R;Temp;Auditory_Association
5;355;403;Thalamus: Mediodorsomedial magnocellular_R;;
5;355;406;Thalamus: Parafascicular_R;;
5;355;410;Thalamus: Pulvinar medial_R;;
5;355;411;Thalamus: Ventral Anterior_R;;
5;355;415;Putamen_R;;
5;355;418;Globus palidus externalis_R;;
6;133;4;Second_Visual_Area_L;Occ;Early_Visual
6;133;8;Primary_Motor_Cortex_L;Fr;Somatosensory_and_Motor
6;133;56;Ventral_Area_6_L;Fr;Premotor
6;133;67;Area_8Av_L;Fr;Dorsolateral_Prefrontal
6;133;73;Area_8C_L;Fr;Dorsolateral_Prefrontal
6;133;74;Area_44_L;Fr;Inferior_Frontal
6;133;78;Rostral_Area_6_L;Fr;Premotor
6;133;79;Area_IFJa_L;Fr;Inferior_Frontal
6;133;84;Area_46_L;Fr;Dorsolateral_Prefrontal
6;133;108;Frontal_Opercular_Area_4_L;Fr;Insular_and_Frontal_Opercular
6;133;133;Area_TE1_posterior_L;Temp;Lateral_Temporal
6;133;149;Area_PFm_Complex_L;Par;Inferior_Parietal
6;133;150;Area_PGi_L;Par;Inferior_Parietal
7;116;116;Area_PFt_L;Par;Inferior_Parietal
7;116;149;Area_PFm_Complex_L;Par;Inferior_Parietal
8;153;153;VentroMedial_Visual_Area_1_L;Occ;Ventral_Stream_Visual
8;153;163;Ventral_Visual_Complex_L;Temp;Ventral_Stream_Visual
9;304;222;Lateral_Area_7A_R;Par;Superior_Parietal
9;304;229;Ventral_IntraParietal_Complex_R;Par;Superior_Parietal
9;304;257;Area_anterior_47r_R;Fr;Inferior_Frontal
9;304;304;ParaBelt_Complex_R;Temp;Early_Auditory
9;304;315;Area_TF_R;Temp;Medial_Temporal
9;304;323;Area_PGp_R;Par;Inferior_Parietal
9;304;331;Area_PGs_R;Par;Inferior_Parietal
9;304;354;Lateral_Belt_Complex_R;Temp;Early_Auditory
10;372;372;Thalamus: Reuniens_L;;
11;125;3;Sixth_Visual_Area_L;Occ;Dorsal_Stream_Visual
11;125;46;Lateral_Area_7P_L;Par;Superior_Parietal
11;125;49;Ventral_IntraParietal_Complex_L;Par;Superior_Parietal
11;125;125;Auditory_5_Complex_L;Temp;Auditory_Association
11;125;143;Area_PGp_L;Occ;Inferior_Parietal
11;125;151;Area_PGs_L;Par;Inferior_Parietal
11;125;175;Auditory_4_Complex_L;Temp;Auditory_Association
